# ClassName	Offset	Value	Hex	Type	SourceFile	Context
MUPercussivePitchSystem	0x8c	0.5	0x3ccccccd3f000000	hex_float	013231f0.c	undefined4 *)(unaff_RDI + 0x21c) = 0;   *(undefined8 *)(unaff_RDI + 0x8c) = 0x3ccccccd3f000000;   FUN_016c0a70();
MUPitchMapper	0x14	10	0x41200000	hex_float	01802d60.c	*(undefined1 *)(puVar2 + 2) = 1;       *(undefined4 *)((longlong)puVar2 + 0x14) = 0x41200000;       FUN_00d21140(
MUPitchMapper	0x14	9	0x41100000	hex_float	01802d60.c	*(undefined1 *)(puVar2 + 2) = 1;       *(undefined4 *)((longlong)puVar2 + 0x14) = 0x41100000;       FUN_00d21140(
MUPitchMapper	0x14	8	0x41000000	hex_float	01802d60.c	*(undefined1 *)(puVar2 + 2) = 1;       *(undefined4 *)((longlong)puVar2 + 0x14) = 0x41000000;       FUN_00d21140(
MUPitchMapper	0x14	2.5	0x40200000	hex_float	01802d60.c	*(undefined1 *)(puVar2 + 2) = 0;       *(undefined4 *)((longlong)puVar2 + 0x14) = 0x40200000;       FUN_00d21140(
MUPitchMapper	0x14	2.8	0x40333333	hex_float	01802d60.c	*(undefined1 *)(puVar2 + 2) = 0;       *(undefined4 *)((longlong)puVar2 + 0x14) = 0x40333333;       FUN_00d21140(
MUPitchMapper	0x14	5	0x40a00000	hex_float	01802d60.c	*(undefined1 *)(puVar2 + 2) = 0;       *(undefined4 *)((longlong)puVar2 + 0x14) = 0x40a00000;       FUN_00d21140(
MUPitchMapper	0x14	-3	0xc0400000	hex_float	01802d60.c	*(undefined1 *)(puVar2 + 2) = 0;       *(undefined4 *)((longlong)puVar2 + 0x14) = 0xc0400000;       FUN_00d21140(
MUPitchMapper	0x14	0.5	0x3f000000	hex_float	01802d60.c	*(undefined1 *)(puVar2 + 2) = 0;       *(undefined4 *)((longlong)puVar2 + 0x14) = 0x3f000000;       FUN_00d21140(
MUPitchMapper	0x14	-1	0xbf800000	hex_float	01802d60.c	*(undefined1 *)(puVar2 + 2) = 0;       *(undefined4 *)((longlong)puVar2 + 0x14) = 0xbf800000;       FUN_00d21140(
MUPitchMapper	0x14	100	0x42c80000	hex_float	01802d60.c	*(undefined1 *)(puVar2 + 2) = 0;       *(undefined4 *)((longlong)puVar2 + 0x14) = 0x42c80000;       FUN_00d21140(
MUSampledFunction	0x1c	1	0x3f800000	hex_float	0196e070.c	}           else {             *(undefined4 *)((longlong)plVar13 + 0x1c) = 0x3f800000;             fVar15
MUSampledFunction	0x1c	1	0x3f800000	hex_float	0196e070.c	1c)) || NAN(DAT_02390124))) {           *(undefined4 *)((longlong)plVar13 + 0x1c) = 0x3f800000;           *(undefin
