# Class	FunctionAddr	Size	Strings
MDToolbarRightPluginConfigCtrl	002bf6e0	685	3 strings
MDToolbarPositionCtrl	003b2450	685	3 strings
MDToolbarAraClickCtrl	00610b00	685	3 strings
MDToolbarEditorViewCtrl	006e9b50	685	3 strings
GNAudioProcessor	00b31190	685	5 strings
GNMidiConnection	00b50d90	685	3 strings
MUFader	012a4320	685	3 strings
MUAudioSourceSeparationPrefCtrl	01a93e70	685	3 strings
MUScaleCreationData	01b41b10	685	3 strings
MUScaleDetectionOptionsData	01b56960	685	3 strings
GNBackgroundView	01d7e3a0	685	3 strings
GNSplitView	01db1310	685	3 strings
GNWizardView	01f18290	685	3 strings
MDPlaybackController	005da070	684	2 strings
MDMetaWindowController	0008b310	683	1 strings
MDMetaWindowController	000f3710	683	1 strings
GNIconsViewAssoc	00182050	683	2 strings
MDMetaWindowController	002d96b0	683	1 strings
MDMetaWindowController	003a7490	683	1 strings
MDMetaWindowController	003b27f0	683	1 strings
MDMetaWindowController	00448b60	683	1 strings
MDMetaWindowController	00610ec0	683	1 strings
GNActionRegistration	01f92410	683	1 strings
MDVolumeFader	006c7220	681	1 strings
MDElementQuantizeWrapper	00807040	681	2 strings
MUPitchApproachMapper	01194790	681	1 strings
GNShortCutSearchField	01f81f80	681	1 strings
MDMetaWindowController	004a8460	680	1 strings
GNUni	01110970	680	6 strings
MDAnalyserTestView	00068fb0	679	3 strings
MDNoLicenseController	00102320	679	3 strings
MDURLOpenedController	0054c3c0	679	3 strings
GNAudioProcessorController	00b35dc0	679	4 strings
GNMidiComponent	00b4ff20	679	3 strings
GNOverloudConvolverController	00c22cc0	679	3 strings
MUScalePanel	01acf580	679	3 strings
MUScaleDetectionOptionsCtrl	01b53760	679	3 strings
MUBrowserView	01c1b4a0	679	3 strings
GNUpdateCheckController	01cffdc0	679	3 strings
MUSpectrumShaper	01bd4470	678	1 strings
MUTextFieldDragAndEditHandler	0080b970	677	2 strings
MUFormant	008706d0	677	1 strings
MUTextFieldDragAndEditHandler	01ba3960	677	2 strings
MUSpectrumShaper	01be3200	677	5 strings
MDMetaWindowController	00392f00	675	1 strings
MDDetectionElementInsp	005af2c0	675	1 strings
GNUni	001b40a0	674	7 strings
GNRangeFactorFormatter	00c4a000	674	1 strings
MUPitchMapper	01813900	674	1 strings
GNValue	01ca2ec0	674	1 strings
GNTextAutoCompleterItem	01ecada0	674	1 strings
MUST	00e5a070	673	1 strings
GNString	01257570	673	1 strings
GNData	00e56ef0	672	3 strings
GNDictionary	019ebb20	672	1 strings
LsObjectCache	009b8f5a	671	3 strings
GNUni	00bf6440	671	2 strings
GNString	00d204f0	671	1 strings
MDMetaWindowController	002bf9b0	669	1 strings
MUPitchSystemRulerView	019f0970	669	1 strings
GNAudioPlugInDescription	00010750	665	8 strings
GNLicenseContext	0056b300	664	1 strings
GNScrollView	01cf9ae0	664	1 strings
GNNumberFormatter	00826d80	663	5 strings
GNEvent	001c7e80	660	6 strings
GNList	00d20d90	659	3 strings
GNTask	0005f200	658	1 strings
MDEditorScrollView	007f4cf0	658	1 strings
GNValue	01a8a330	657	1 strings
GNNotificationCenter	00052160	656	1 strings
GNCustomCircularSlider	0058d210	656	1 strings
MUColorCorrectionView	0081f080	656	1 strings
GNDictionary	01cc8fe0	656	1 strings
MUDetectionEditorView	019280d0	654	1 strings
MUEditorElementView	019a6410	654	1 strings
MDFileBrowserInsp	00371b30	653	1 strings
MUNoiseMapper	017dcae0	650	1 strings
MDWorkspaceModuleViewController	00566d70	649	1 strings
GNSerialNumber	00d283b0	648	1 strings
MUAudioRecorderCenter	010fa130	647	1 strings
MUChord	01a735b0	647	1 strings
MUChord	01a73920	647	1 strings
GNNull	00d21790	645	4 strings
GNJSONGenerator	00e4d310	645	10 strings
GNMultiRulerView	01d99a50	645	1 strings
GNInfoController	00655410	644	1 strings
MDMetaWindowController	003bebd0	643	1 strings
GNPullDownButton	007f5ec0	643	1 strings
GNPullDownButton	007f6250	643	1 strings
GNPullDownButton	007f65e0	643	1 strings
GNString	00bf87d0	642	1 strings
MUTrack	0118a6a0	641	8 strings
MUTagOptionAttribute	018c1dd0	641	1 strings
MDAudioTrackItem	002f1240	640	1 strings
GNString	01f02a40	640	1 strings
GNString	01ab2a40	639	1 strings
MDEditorView	005631a0	638	1 strings
GNFraction	017c56a0	638	6 strings
GNOverloudConvolver	00bf3f50	635	1 strings
GNGraphicsContext	01d900f0	635	1 strings
MDMetaWindowController	002a9ff0	634	1 strings
GNUni	001de420	633	6 strings
MUEditorSubview	019ad3e0	633	1 strings
GNLocaleExportController	01e85f80	632	1 strings
MDScaleModeSequenceView	0021b390	631	1 strings
GNString	01892140	630	1 strings
MDViewSettings	005f1790	629	7 strings
MDViewSettings	005f1a30	629	7 strings
MDMetaWindowController	002c0100	628	1 strings
MDMetaWindowController	002cba10	628	1 strings
GNPlugInWrapperDelegate	00b4f760	628	1 strings
GNJob	00045740	626	6 strings
MDEditorViewController	005c6d00	626	6 strings
MUSignatureEditorView	0085d370	626	6 strings
MUTempoEditorView	008634f0	626	6 strings
MDWorkspaceView	008874c0	626	1 strings
GNFraction	0165fd70	625	6 strings
MUMultiTrackTracksView	0030e7f0	622	1 strings
GNActionRegistration	01f92800	622	1 strings
GNString	0171c180	620	1 strings
GNInt	011a5bd0	618	5 strings
MULibraryFileKind	01151740	617	10 strings
MUTextField	005efdc0	616	1 strings
TSocket	00adb600	615	2 strings
MULoopComponentDensityDummyEnumRegistrationClass	01784be0	613	5 strings
MULoopComponentPitchRangeDummyEnumRegistrationClass	01785110	613	5 strings
MULoopToneDummyEnumRegistrationClass	017d81c0	613	5 strings
MDExportControllerItem	0012b970	612	1 strings
MDMetaWindowController	003a85d0	612	1 strings
MUAraDocumentController	016a5360	612	5 strings
MDMetaWindowController	000f3ac0	611	1 strings
MUAraPlugInWrapperDelegate	01690310	611	1 strings
GNVariable	000585f0	610	1 strings
MUAudioSourceDescription	010f5320	610	6 strings
MUAudioSourceDescription	0110ae80	610	5 strings
MDAsyncProcess	000b41e0	609	1 strings
MUGrooveBasedQuarterAnalyzer	010d8920	609	1 strings
GNPBListWrapper	01cacbe0	608	1 strings
MDCopyAndPaste	00561840	607	1 strings
MUScrollerSlider	00814030	607	1 strings
GNDictionary	015abbd0	607	1 strings
GNRadialColorGradient	01f7c3a0	607	1 strings
GNObject	00d66830	606	3 strings
GNObject	00d66bb0	606	3 strings
GNPlugInHostDocument	00bdad20	605	1 strings
MUScaleRulerHeaderSquareTextField	00812d20	604	1 strings
GNTableTextDataField	01e775c0	604	1 strings
MDProgressViewBar	00170e40	602	1 strings
GNTimer	00201ac0	602	1 strings
MUDetectionActivationSlider	0080a190	601	1 strings
MUTempoEditorViewItem	01c49e10	601	1 strings
GNMultiRulerView	01d99db0	601	1 strings
MDMetaWindowController	000ff260	600	1 strings
MDMetaWindowController	002d9a60	600	1 strings
MDMetaWindowController	003a7840	600	1 strings
MDMetaWindowController	00448850	600	1 strings
MDMetaWindowController	0045f200	600	1 strings
MDMetaWindowController	004a9400	600	1 strings
MUTextFieldDragAndEditHandler	00831880	600	2 strings
GNControl	000f9080	599	3 strings
MDExportControllerFormat	0012d660	599	3 strings
GNSoundFile	007b1530	599	3 strings
MUAudioSourceDescription	0110c460	599	7 strings
MUPart	015095d0	599	3 strings
GNScroller	00187e40	598	1 strings
MDViewSettings	005f3190	598	6 strings
GNComboBox	01e7ef60	598	1 strings
MUAraContentReader	016b9ed0	597	4 strings
MDProgressViewController	00171760	596	1 strings
MDToolbarPositionCtrl	005e6ed0	596	1 strings
GNStream	00cf8050	596	4 strings
GNInt	017df3a0	596	4 strings
GNRange	001e1200	595	6 strings
MULoopWatermarkAnalyzer	010da0a0	595	1 strings
GNData	0110ccb0	594	4 strings
MUScaleBrowser	008469f0	592	5 strings
GNPolyMidiInstrument	00b10c00	592	1 strings
MDTransferPluginTrackHeaderViewController	00306fc0	591	1 strings
GNValue	018bc9c0	591	1 strings
GNMultiRulerView	01d98b80	591	1 strings
GNHeartbeatHandler	0055f640	590	2 strings
MUElementFormantInspector	0080df20	590	1 strings
GNOperationProgressObserver	013dbcd0	590	2 strings
GNHeartbeatHandler	01e731f0	590	2 strings
GNTextViewDelegate	001c3150	589	2 strings
MDMetaWindowController	002beee0	589	1 strings
GNData	00e3cd10	589	3 strings
GNBrowserDataField	008401e0	588	4 strings
GNDraggingInfo	001c5b80	587	1 strings
MUAmplitudeAnalyzer	010ce910	586	1 strings
GNStringTable	01e56f90	586	1 strings
GNFormattedTitleAssoc	00181a30	585	1 strings
GNUni	005b1650	585	8 strings
GNValue	016601d0	585	1 strings
GNFormatter	001839c0	584	2 strings
GNMenuView	00184f70	584	1 strings
MDLogoView	004a9ce0	584	1 strings
GNTableViewAssoc	01df1960	584	1 strings
MUDetectionQuarterAssignmentInspector	0080b600	583	1 strings
MUElementAmplitudeInspector	0080da70	583	1 strings
MUTextFieldDragAndEditHandler	01ba5860	583	2 strings
MUTextFieldDragAndEditHandler	01bba650	583	2 strings
MUElementFadeInspector	01c12550	583	1 strings
GNSoundFileAIFFWriter	007a5ec0	582	1 strings
GNNotification	00051da0	581	4 strings
MDExportControllerRegion	0012ffe0	581	3 strings
MDChordSequenceView	0021b050	581	1 strings
MUHorizontalOverviewScroller	0080f2b0	581	1 strings
MUAudioSourceDescription	00839f30	581	3 strings
MUElementAnalyzer	0113d230	581	3 strings
GNSwitchButton	00188a20	580	1 strings
MUScaleRulerHeaderProgressButton	008127f0	580	1 strings
GNPolyMidiInstrument	00af4470	580	1 strings
MUPlaybackView	01aa4830	580	1 strings
GNRadioButton	01e769d0	580	1 strings
MUMultiTrackDropTargets	01bf5140	579	1 strings
GNAnimationView	0017b500	578	1 strings
GNObject	00d67220	578	3 strings
MDNotificationObserver	000a8dd0	577	5 strings
MDMetaWindowController	0006f3d0	576	1 strings
GNTabView	001899f0	574	1 strings
MDKeyModifierActionHelper	0035a900	574	1 strings
MUTempoEditorView	00863790	574	3 strings
MUTrackPreloadRange	011cd5a0	574	1 strings
MUDetectionBaseInsp	0080bf20	573	1 strings
GNInt	00068b60	572	5 strings
GNBorderStyle	002fa180	572	3 strings
MDPluginPreferencesController	00711930	572	1 strings
MUPasteboardHandler	00808f90	572	1 strings
GNSoundFileFormat	00135840	571	3 strings
MUScaleDetectionOptionsCtrl	00811850	571	1 strings
MULoopWorkflowStep	011554e0	571	9 strings
MULoopComponentId	017d79e0	571	3 strings
MDProjectAudioSource	002d6160	570	1 strings
MDPluginTimeProgressor	005dbd30	570	1 strings
GNQualifierVariable	00d16be0	570	1 strings
MULSSGenerator	012e57f0	570	1 strings
GNCelemonyAccountClient	0056f450	569	5 strings
GNFraction	0085a3b0	569	5 strings
MUAudioGeneratorRenderer	010d0100	569	1 strings
MUSpectrumShaper	01bd3c40	569	1 strings
MDSystemLoadView	000f12a0	568	1 strings
MUPointBasedFunctionView	00810670	568	1 strings
GNSoundFileCache	00b8e6a0	568	1 strings
GNOverloudMutronIIIWah	00bf33e0	568	1 strings
MUSignatureEditorRulerView	01c8e070	568	1 strings
MDTransferPluginTrackHeaderViewController	002e3100	567	1 strings
MDAudioTrackItem	0030b420	565	1 strings
MUSpectrumShaper	01415520	564	1 strings
MUTool	01a5cd20	562	1 strings
GNTableColumnAssoc	01deec00	562	1 strings
GNTableColumnAssoc	01deef50	562	1 strings
GNBrowserDataField	0017e420	561	1 strings
GNInt	0114d0f0	561	5 strings
MULSSElementRenderer	01166a70	561	1 strings
GNInt	011b4770	561	5 strings
MUTranspositionMapper	011d3bc0	561	3 strings
MUVoiceMapper	011d6e90	561	3 strings
MUScalePitchSystemSequence	0150a2e0	561	1 strings
MUMultiTrackView	01bf3920	561	1 strings
MDProjectAudioSource	002d6cb0	560	3 strings
MUMultiTrackView	002fcbc0	560	3 strings
MDToolbarActivityCtrl	0046fc10	560	1 strings
MDToolbarLayouter	004b5500	560	3 strings
MURenderSliceTimeContext	00540740	560	3 strings
MDEditorViewController	005c82b0	560	3 strings
MDEditorViewController	005c8510	560	3 strings
MDFileBrowserInsp	005cbd80	560	3 strings
MDPlaybackController	005da8e0	560	3 strings
MDWorkspaceLayoutStrategy	005f5130	560	3 strings
MDWorkspaceLayoutStrategy	005f5390	560	3 strings
GNBinaryKeyValueArchiverDelegate	00cc56c0	560	3 strings
GNBinaryKeyValueArchiverDelegate	00cc6460	560	3 strings
GNGraphicsContextState	01d4da00	560	3 strings
GNGraphicsContextState	01d4dc60	560	3 strings
GNOperationProgressObserver	007ef7c0	559	2 strings
GNInt	00afe410	559	5 strings
GNUni	0117c2b0	559	8 strings
MUThirdsCircle	011e95b0	559	1 strings
GNAttributeType	00029710	558	1 strings
MUTextFieldDragAndEditHandler	0082f7f0	558	2 strings
GNNull	01251710	558	5 strings
GNThread	000619d0	557	3 strings
GNPopUpButton	001e3dc0	557	1 strings
GNString	00d1e780	557	1 strings
GNForeignThreadPool	00da7ea0	557	3 strings
MUAraModelManager	0168f7f0	557	6 strings
GNPopUpButtonAssoc	001e4aa0	556	1 strings
GNSplitView	001883f0	555	1 strings
MUPitchSystemRulerView	00810180	555	1 strings
GNInfoController	01f45680	555	1 strings
GNSoundFilePreloadRange	00bcd190	554	1 strings
GNStringAnalyzer	00053f90	553	1 strings
MUPreviewController	0084c490	553	1 strings
MUPitchClassMapper	01195860	553	3 strings
MUPitchMapper	01197c30	553	3 strings
MUPitchMapper	01197e80	553	3 strings
MUTranspositionMapper	011d3970	553	3 strings
MUPartMapperScaleScope	011d74a0	553	3 strings
GNComboBoxAssoc	0017f5f0	552	1 strings
GNClassModel	000343f0	551	2 strings
GNModuleViewAssoc	001852e0	551	1 strings
MDQuantizeController	00272a20	551	1 strings
MDHorizontalRulerSelectorView	004fc6d0	551	1 strings
GNUni	010d7b20	551	5 strings
GNUni	0151ca60	551	5 strings
GNHeartbeatHandler	018b8a80	551	2 strings
GNControl	01dd66d0	551	1 strings
GNFile	0003f4c0	550	3 strings
GNTypedStream	000639a0	550	3 strings
GNCursor	001bfee0	550	1 strings
MDProjectAudioSource	002d6a60	550	3 strings
MUMultiTrackView	00300f60	550	3 strings
MUDetectionEditorView	005ac4f0	550	3 strings
GNSoundFile	007b2680	550	3 strings
MUPitchTitleDisplayMode	00832d80	550	3 strings
MUTempoEditorView	00866df0	550	3 strings
GNMidiFile	00b04d60	550	3 strings
GNMidiFileKeyType	00b06e60	550	3 strings
GNSoundFileCacheRequest	00bcc880	550	1 strings
GNObject	00d68120	550	3 strings
GNString	00d1eda0	548	1 strings
GNString	00d1f040	548	1 strings
MUAraPersistentObject	016962f0	548	1 strings
MDExportControllerFormat	0012e9c0	547	3 strings
GNMenuView	00190ad0	547	3 strings
GNBoxView	001b20a0	547	1 strings
MDAudioTrackItem	0030bb60	547	3 strings
MDEditorScrollView	005bc0d0	547	3 strings
MDEditorView	005be530	547	3 strings
MDEditorView	005be780	547	3 strings
MDPlaybackController	005da690	547	3 strings
MDVolumeFader	006dc860	547	3 strings
GNString	00d4acc0	547	1 strings
GNHTTPRequest	00e777b0	547	3 strings
MUSpectrumShaper	011b2370	547	3 strings
MULoopSwingResolutionIndexDummyEnumRegistrationClass	017d86f0	547	3 strings
QualityScoring	01d4e050	547	3 strings
GNToolbarPalette	0018b960	545	1 strings
MDWelcomePanelController	0055ee40	545	1 strings
GNSoundFileWAVEReader	007a77d0	545	1 strings
GNToolBox	0017c120	544	1 strings
GNBorderStyle	001b2330	544	3 strings
GNScrollView	001ec260	544	3 strings
MDVolumeSlider	002e2b40	544	1 strings
GNString	0037a800	544	1 strings
MUElementTimeInspector	0080e730	544	1 strings
MUScaleStretchTuningView	00813ce0	544	1 strings
MUPulseAssignmentTarget	011f6270	544	1 strings
MUDetectionPitchIndexAssignmentInspector	01a152a0	544	1 strings
MUDetectionPitchCenterAssignmentInspector	01c15c90	544	1 strings
GNBorderStyle	01e82de0	544	3 strings
GNTypographicLayout	001e02c0	542	1 strings
MDToolbarLayouter	004b40e0	542	1 strings
MUHostTimelineReader	0000dfe0	541	5 strings
MUScaleBrowserItem	01aa4330	541	1 strings
GNCustomAssoc	00180450	539	1 strings
MDTrackInsp	00565c40	539	1 strings
GNOverloudCompressor	00bf1e60	539	1 strings
GNBrowserDataSource	01e737d0	539	2 strings
GNFraction	00043ac0	538	5 strings
MUDisplayPerformanceTimeMapper	0080cdd0	538	1 strings
MUDetectionActivationSlider	00826580	538	1 strings
GNInt	00b10260	538	4 strings
MUPitchMapper	01813bd0	538	3 strings
GNOverloudConvolver	00c1a890	536	2 strings
GNHashAlgorithm	00de7070	536	1 strings
GNBinaryKeyValueUnarchiver	00e58c60	536	2 strings
MUPotentialPathConnectionType	011e6210	536	3 strings
MUAraContentReader	016be130	536	7 strings
MUPitchMapper	01803d20	536	2 strings
GNShortCutSearchField	01f90be0	536	1 strings
MURelativeTimeProgressor	0031ef40	535	1 strings
GNPlugInControllerWrapper	00003ae0	534	1 strings
MUTimeSliceParameterBuffer	010e8f80	534	1 strings
MUScaleStretchTuningCtrl	008139b0	533	1 strings
GNAudioProcessorView	00af0870	533	1 strings
MUElementRenderCluster	010d7110	533	1 strings
MUGrooveBasedGrooveAssignment	0142a580	533	1 strings
MUScaleRegion	0184ac30	533	1 strings
MUAudioFileSource	01b253d0	533	1 strings
GNMultiRulerView	01d954d0	533	1 strings
GNCharacterFormat	001b5c70	532	3 strings
GNClipView	001b7d70	532	3 strings
GNClipView	001b7fb0	532	3 strings
GNClipView	001b81f0	532	3 strings
GNClipView	001b8430	532	3 strings
GNScrollView	001ecb80	532	3 strings
GNSplitViewItem	001ef760	532	3 strings
MDAnimation	00573310	532	3 strings
MDEditorDescription	00576f30	532	3 strings
MDLayer	0057b970	532	3 strings
MDViewSettings	005f3e70	532	3 strings
MDExportController	0079afc0	532	3 strings
GNBrowser	0083fe80	532	3 strings
GNButtonType	0086fe10	532	3 strings
GNAudioNullDevice	00af9e20	532	1 strings
GNUni	010f6bf0	532	5 strings
MUChordLabelingSystem	01117360	532	3 strings
MUChordContext	0117f2d0	532	3 strings
MUChordContext	01186300	532	3 strings
MUPerformanceRenderer	01190a80	532	3 strings
MUPerformanceRenderer	01190cc0	532	3 strings
MUPitchApproachMapper	01194ef0	532	3 strings
MUPitchClassMapper	01195cf0	532	3 strings
MUPropertyPointSpecialProperty	0119c0c0	532	3 strings
MUVoiceMapper	011d6c50	532	3 strings
MUVoiceMapper	011d7860	532	3 strings
GNToolbar	01e8d890	532	3 strings
GNBCFA	00cc95f0	531	1 strings
MUFretInstrumentVoicing	0151d140	531	1 strings
GNTextAutoCompleterItem	01ed1670	531	3 strings
GNString	00d1f570	530	1 strings
GNJob	0001cda0	529	1 strings
GNJSONGenerator	00e4cc70	529	7 strings
MUPitchApproachMapper	01194a70	529	3 strings
MUPitchApproachMapper	01194cb0	529	3 strings
MUPitchClassMapper	01195620	529	3 strings
MUPitchClassMapper	01195ab0	529	3 strings
MUVoiceMapper	011d70f0	529	3 strings
GNUIDObjectConnection	00205030	528	1 strings
MUMPDReader	0057cff0	528	1 strings
MUScaleCreatePitchSystemCtrl	008112f0	528	1 strings
GNString	017cdb60	528	1 strings
GNString	017cde30	528	1 strings
GNString	0181e090	528	3 strings
MUTempoEditorRulerView	01c4a1a0	528	1 strings
GNFontDescription	001cab90	527	1 strings
GNString	00d1f2e0	527	1 strings
GNBinaryArchiveTypeInfoContainer	00e5cf00	527	1 strings
GNMidiEventPacket	007af3c0	526	1 strings
GNString	00c71ff0	526	1 strings
MUSampledFunction	0126bcd0	525	1 strings
GNOverloudParametricEQ	00bf1bb0	523	1 strings
MUChordSequence	0124f2e0	523	5 strings
MUTimeHandleToolViewInfo	01a771f0	523	1 strings
GNTableView	01de7c30	523	1 strings
GNAudioPlugInDescription	00010a10	522	3 strings
GNAppearance	001abd00	522	3 strings
GNEvent	001c87b0	522	3 strings
MDTooltipsPrefCtrl	005657d0	522	1 strings
MDDocumentConversionSheet	00628800	522	1 strings
MUBrowserView	0081a5a0	522	3 strings
MUChordLabelingSystem	011169f0	522	3 strings
MUChordLabelingSystem	01116d90	522	3 strings
MUChordLabelingSystem	01116fc0	522	3 strings
MUChordLabelingSystem	011175a0	522	3 strings
MULineMapper	01152660	522	3 strings
MUPerformanceMidiExporter	0118b970	522	3 strings
GNPrintSettings	01e8af80	522	3 strings
GNStackView	01e8bef0	522	3 strings
GNToolBoxView	001a2a30	521	1 strings
GNUni	01e73a80	521	2 strings
MUMultiTrackTrackElement	00587df0	520	1 strings
MUEditorSubview	005b9d10	520	1 strings
MDToolbarLeftConfigCtrl	008737a0	520	1 strings
GNObject	00d4fbf0	520	2 strings
GNPopUpButton	01efdfe0	520	1 strings
GNAudioPlugInDescription	00010c40	519	3 strings
GNSortOrdering	0005ce40	519	3 strings
MDRightInspectorController	000ee1a0	519	1 strings
GNControl	000f8a60	519	3 strings
MDRecordingPrefCtrl	00116d00	519	1 strings
GNTableView	0019c530	519	3 strings
GNAction	001a47f0	519	3 strings
GNEvent	001c8cc0	519	3 strings
GNSortOrderDirection	001f20a0	519	3 strings
GNTabView	001f5240	519	3 strings
GNToolTipLocation	00211bf0	519	3 strings
MDEditorDescription	005767e0	519	3 strings
MDEditorDescription	00576a10	519	3 strings
GNAudioSimpleFilter	00afd730	519	3 strings
MUDescriptionGrade	0111d700	519	3 strings
MUPitchRunMapper	011999d0	519	3 strings
MUScaleModeSequence	0151f2d0	519	3 strings
MUSpectrumShaper	01bde350	519	3 strings
GNPropertyObserver	01c4a490	519	2 strings
GNAnimation	01e79290	519	3 strings
GNComboBox	01e7f820	519	3 strings
GNToolbar	01e8dad0	519	3 strings
MUPitchDriftTool	0080fc00	518	1 strings
GNAudioProcessorEvent	00b03ae0	518	5 strings
GNMidiFileTempo	00b09950	518	1 strings
GNString	00c71d60	518	1 strings
GNInt	011a7e10	518	6 strings
MUAdvancedTempoDetectionDialog	01c4a8b0	518	1 strings
GNScrollView	01cf9e30	518	1 strings
GNBitfield	0002ecf0	517	1 strings
MDActivityDiagramView	005513c0	517	1 strings
MUColorCorrectionCtrl	008087a0	517	1 strings
GNLicenseResult	00e5f7d0	517	1 strings
GNString	01df0ad0	517	1 strings
GNString	01df0d90	517	1 strings
GNDictionary	01e02bc0	517	1 strings
MDTestValuesController	00560cc0	516	1 strings
GNSoundFileNFFWriter	007bf5f0	516	1 strings
GNSoundFileSNDWriter	007c0ba0	516	1 strings
GNSocket	00cfc6e0	516	1 strings
GNString	00d1e2d0	516	1 strings
MUBarSignature	0165f820	516	1 strings
MUBeatSelection	01706530	516	1 strings
MDMetaWindowController	003696e0	515	1 strings
GNUni	0057aed0	515	7 strings
GNMidiFileReader	00af24b0	515	1 strings
GNHeartbeatHandler	00bf5290	515	1 strings
GNUni	0115eb90	515	8 strings
GNUni	01255530	515	5 strings
GNString	01da5610	515	1 strings
GNComboBox	01e73d90	515	1 strings
GNPDFImage	01e87ec0	515	1 strings
GNToolTipController	0018c900	514	1 strings
GNPullDownButton	00501c20	514	1 strings
GNSimpleXMLElement	00be9af0	514	1 strings
GNString	017cad90	514	1 strings
GNString	017cb550	514	1 strings
GNString	017cb7f0	514	1 strings
GNString	017cc420	514	1 strings
GNString	017cee60	514	1 strings
GNString	017cf100	514	1 strings
GNString	017cf3a0	514	1 strings
GNString	017d2720	514	1 strings
GNString	017d3160	514	1 strings
GNString	01893ad0	514	1 strings
GNSoundFileNFFWriter	007a6fd0	513	1 strings
GNSoundFileSNDWriter	007a74c0	513	1 strings
GNAudioProcessorController	00af0290	513	1 strings
GNOverloudGainReductionView	00bff5f0	513	1 strings
GNBinaryKeyValueUnarchiver	00e5b2a0	513	4 strings
GNUni	010f68b0	513	5 strings
GNFileArchive	00040690	512	3 strings
GNJob	00045190	512	3 strings
GNOperationProgressObserver	00045510	512	3 strings
GNUni	0005a0f0	512	4 strings
GNUni	00131aa0	512	4 strings
GNDebugObjectBrowser	001c1360	512	3 strings
MUTimelineRulerView	0050b490	512	3 strings
MDPluginDocument	005153b0	512	1 strings
GNLicenseActivationDataDecryptor	0056c060	512	3 strings
GNLicenseILokProcessor	0056c400	512	3 strings
GNUni	0057d870	512	4 strings
GNUni	0057dbf0	512	4 strings
GNUni	0057faa0	512	4 strings
GNUni	005f0340	512	4 strings
MUTextFieldDragAndEditHandler	008308f0	512	2 strings
GNUni	00834210	512	4 strings
MUTempoEditorView	00865db0	512	3 strings
GNUni	00cc3490	512	4 strings
GNUni	00e358d0	512	4 strings
GNUni	00e77b50	512	4 strings
GNUni	00e77ed0	512	4 strings
MUEventBasedQuarterAssignmentAnalyzer	010d7590	512	1 strings
GNUni	010fb7f0	512	4 strings
GNUni	013daf80	512	4 strings
MUAraTrackObserver	016a97f0	512	3 strings
GNUni	01bf62b0	512	4 strings
GNHeartbeatHandlerRegistration	01f4aa70	512	3 strings
GNString	00d4c220	511	1 strings
GNFraction	01706fd0	511	4 strings
MUMultiTrackTrackView	0030bdf0	510	1 strings
MUPerformanceTimeView	0059e760	510	1 strings
GNUni	011b9c20	510	7 strings
MUQuarterAssignmentBeat	01233c30	510	1 strings
MDEditorScrollView	00562f50	509	1 strings
MURelativeTimeProgressor	01aa1760	509	1 strings
GNParagraphFormat	001df210	508	1 strings
MDTempoEditorHelper	006f0120	508	1 strings
GNMidiEventPacket	007a53d0	508	1 strings
MUMidiIOSlot	010dd260	508	1 strings
GNString	00c71440	507	1 strings
GNString	00c716c0	507	1 strings
MUPulseAssignmentTarget	011f6ad0	507	1 strings
GNTableView	01c33700	507	1 strings
GNControlAssoc	0017fbd0	506	1 strings
MDAsyncDocumentAdder	0038fbc0	506	1 strings
GNDisplayGroup	00842710	506	4 strings
GNAudioProcessor	00b37610	506	1 strings
GNUni	005fbb80	505	4 strings
GNFileArchivePrivate	00ccf640	505	1 strings
GNClipView	0017eec0	504	1 strings
GNComboBoxAssoc	001bb380	504	1 strings
MUAudioSourceItem	011039c0	504	7 strings
GNString	01d56840	504	3 strings
GNTextView	0018ae20	503	1 strings
MUSignatureEditorView	008149f0	503	1 strings
MDToolbarLeftPluginConfigCtrl	004624b0	502	1 strings
GNTableViewAssoc	00189790	501	1 strings
GNHeartbeatHandler	003ae120	501	1 strings
GNString	00d1e530	501	1 strings
MDDetectionEditorElementView	00562380	500	1 strings
GNUni	00b15080	500	4 strings
GNPropertyObserverRegistration	00cbe730	500	1 strings
GNDistinction	00e045e0	500	1 strings
MUTurkishPentachord	011d4f40	500	1 strings
MUMultiTrackDropTarget	01c01bb0	500	1 strings
